1592837433,cpu,6.5,gpu,37.28
1592837444,cpu,2.6,gpu,37.68
1592837455,cpu,13.65,gpu,37.6
1592837466,cpu,8.45,gpu,38.17
1592837478,cpu,8.45,gpu,37.72
1592837489,cpu,4.55,gpu,37.67
1592837500,cpu,6.5,gpu,37.41
1592837511,cpu,4.55,gpu,37.38
1592837523,cpu,5.2,gpu,37.61
1592837534,cpu,10.4,gpu,39.07
1592837545,cpu,3.25,gpu,37.47
1592837556,cpu,7.8,gpu,37.79
1592837568,cpu,3.25,gpu,37.61
1592837579,cpu,3.25,gpu,37.46
1592837590,cpu,5.2,gpu,37.05
1592837602,cpu,4.55,gpu,37.51
1592837613,cpu,6.5,gpu,37.58
1592837624,cpu,7.8,gpu,37.55
1592837635,cpu,7.8,gpu,38.09
1592837647,cpu,3.25,gpu,37.39
1592837658,cpu,8.45,gpu,37.26
1592837669,cpu,3.25,gpu,37.44
1592837680,cpu,11.7,gpu,37.76
1592837692,cpu,5.2,gpu,37.63
1592837703,cpu,11.7,gpu,37.67
1592837714,cpu,6.5,gpu,38.32
1592837725,cpu,5.2,gpu,38.13
1592837737,cpu,9.75,gpu,37.9
1592837748,cpu,5.2,gpu,38.58
1592837759,cpu,7.8,gpu,39.47
1592837770,cpu,3.25,gpu,37.51
1592837782,cpu,8.45,gpu,37.74
1592837793,cpu,6.5,gpu,37.95
1592837804,cpu,1.3,gpu,37.56
1592837815,cpu,10.4,gpu,38.13
1592837827,cpu,9.75,gpu,38.6
1592837838,cpu,6.5,gpu,38.07
1592837849,cpu,3.25,gpu,37.22
1592837860,cpu,3.25,gpu,37.63
1592837872,cpu,3.25,gpu,37.21
